name	ui	pharmacological_action_name	pharmacological_action_ui
Diazepam	D003975	Anti-Anxiety Agents	D014151
Diazepam	D003975	Anesthetics, Intravenous	D018686
Diazepam	D003975	GABA Modulators	D018757
Diazinon	D003976	Cholinesterase Inhibitors	D002800
Diazinon	D003976	Insecticides	D007306
Diazooxonorleucine	D003980	Antibiotics, Antineoplastic	D000903
Diazooxonorleucine	D003980	Antimetabolites, Antineoplastic	D000964
Diazoxide	D003981	Antihypertensive Agents	D000959
Diazoxide	D003981	Vasodilator Agents	D014665
Dibekacin	D003982	Anti-Bacterial Agents	D000900
Dibenzylchlorethamine	D003983	Adrenergic alpha-Antagonists	D000317
Dibenzylchlorethamine	D003983	Sympatholytics	D013565
Dibucaine	D003992	Anesthetics, Local	D000779
Dibutyl Phthalate	D003993	Plasticizers	D010968
Dicamba	D003996	Herbicides	D006540
Clodronic Acid	D004002	Bone Density Conservation Agents	D050071
Dichlorophen	D004003	Anticestodal Agents	D000923
Dichlorophen	D004003	Antifungal Agents	D000935
Dichlorophen	D004003	Antiprotozoal Agents	D000981
Dichlororibofuranosylbenzimidazole	D004004	Enzyme Inhibitors	D004791
Dichlororibofuranosylbenzimidazole	D004004	Nucleic Acid Synthesis Inhibitors	D019384
Dichlorphenamide	D004005	Carbonic Anhydrase Inhibitors	D002257
Dichlorvos	D004006	Anthelmintics	D000871
Dichlorvos	D004006	Cholinesterase Inhibitors	D002800
Dichlorvos	D004006	Insecticides	D007306
Diclofenac	D004008	Anti-Inflammatory Agents, Non-Steroidal	D000894
Diclofenac	D004008	Cyclooxygenase Inhibitors	D016861
Dicloxacillin	D004009	Anti-Bacterial Agents	D000900
Dicofol	D004010	Insecticides	D007306
Dicyclomine	D004025	Parasympatholytics	D010276
Dicyclomine	D004025	Muscarinic Antagonists	D018727
Dienestrol	D004028	Estrogens, Non-Steroidal	D004968
Diethylcarbamazine	D004049	Filaricides	D005369
Diethylcarbamazine	D004049	Lipoxygenase Inhibitors	D016859
Ditiocarb	D004050	Adjuvants, Immunologic	D000276
Ditiocarb	D004050	Antiviral Agents	D000998
Ditiocarb	D004050	Chelating Agents	D002614
Diethylhexyl Phthalate	D004051	Plasticizers	D010968
Diethylnitrosamine	D004052	Alkylating Agents	D000477
Diethylpropion	D004053	Appetite Depressants	D001067
Diethylstilbestrol	D004054	Carcinogens	D002273
Diethylstilbestrol	D004054	Estrogens, Non-Steroidal	D004968
Diflucortolone	D004060	Anti-Inflammatory Agents	D000893
Diflucortolone	D004060	Glucocorticoids	D005938
Diflunisal	D004061	Anti-Inflammatory Agents, Non-Steroidal	D000894
Diflunisal	D004061	Cyclooxygenase Inhibitors	D016861
Digitalis Glycosides	D004071	Anti-Arrhythmia Agents	D000889
Digitalis Glycosides	D004071	Cardiotonic Agents	D002316
Digitalis Glycosides	D004071	Enzyme Inhibitors	D004791
Digitonin	D004072	Indicators and Reagents	D007202
Digitoxin	D004074	Anti-Arrhythmia Agents	D000889
Digitoxin	D004074	Cardiotonic Agents	D002316
Digitoxin	D004074	Enzyme Inhibitors	D004791
Digoxin	D004077	Anti-Arrhythmia Agents	D000889
Digoxin	D004077	Cardiotonic Agents	D002316
Digoxin	D004077	Enzyme Inhibitors	D004791
Dihydralazine	D004078	Antihypertensive Agents	D000959
Dihydroalprenolol	D004082	Adrenergic beta-Antagonists	D000319
Dihydroalprenolol	D004082	Anti-Arrhythmia Agents	D000889
Dihydroalprenolol	D004082	Antihypertensive Agents	D000959
Dihydroalprenolol	D004082	Sympatholytics	D013565
Dihydroergotamine	D004087	Vasoconstrictor Agents	D014662
Dihydroergotamine	D004087	Dopamine Agonists	D018491
Dihydroergotamine	D004087	Analgesics, Non-Narcotic	D018712
Dihydroergotoxine	D004088	Adrenergic alpha-Antagonists	D000317
Dihydroergotoxine	D004088	Dopamine Agonists	D018491
Dihydromorphine	D004090	Analgesics, Opioid	D000701
Dihydromorphine	D004090	Narcotics	D009294
Hydromorphone	D004091	Analgesics, Opioid	D000701
Hydromorphone	D004091	Narcotics	D009294
20-alpha-Dihydroprogesterone	D004092	Progestins	D011372
Dihydrostreptomycin Sulfate	D004096	Anti-Bacterial Agents	D000900
Dihydrotachysterol	D004097	Vitamins	D014815
Dihydrotachysterol	D004097	Bone Density Conservation Agents	D050071
Dihydroxycholecalciferols	D004100	Vitamins	D014815
Dihydroxycholecalciferols	D004100	Bone Density Conservation Agents	D050071
Iodoquinol	D004103	Amebicides	D000563
Dilazep	D004109	Vasodilator Agents	D014665
Diltiazem	D004110	Antihypertensive Agents	D000959
Diltiazem	D004110	Calcium Channel Blockers	D002121
Diltiazem	D004110	Cardiovascular Agents	D002317
Diltiazem	D004110	Vasodilator Agents	D014665
Dimenhydrinate	D004111	Antiemetics	D000932
Dimenhydrinate	D004111	Histamine H1 Antagonists	D006634
Dimercaprol	D004112	Chelating Agents	D002614
Succimer	D004113	Antidotes	D000931
Succimer	D004113	Chelating Agents	D002614
Dimethadione	D004114	Anticonvulsants	D000927
Dimethindene	D004115	Antipruritics	D000982
Dimethindene	D004115	Histamine H1 Antagonists	D006634
Dimethindene	D004115	Anti-Allergic Agents	D018926
Dimethisterone	D004116	Contraceptives, Oral, Synthetic	D003280
Dimethoate	D004117	Cholinesterase Inhibitors	D002800
Dimethoate	D004117	Insecticides	D007306
Dimethyl Adipimidate	D004119	Antisickling Agents	D000986
Dimethyl Adipimidate	D004119	Indicators and Reagents	D007202
Dimethyl Suberimidate	D004120	Cross-Linking Reagents	D003432
Dimethyl Suberimidate	D004120	Indicators and Reagents	D007202
Dimethyl Sulfoxide	D004121	Cryoprotective Agents	D003451
Dimethyl Sulfoxide	D004121	Solvents	D012997
Dimethyl Sulfoxide	D004121	Free Radical Scavengers	D016166
p-Dimethylaminoazobenzene	D004124	Carcinogens	D002273
p-Dimethylaminoazobenzene	D004124	Coloring Agents	D004396
Dimethylhydrazines	D004127	Carcinogens	D002273
N,N-Dimethyltryptamine	D004130	Hallucinogens	D006213
N,N-Dimethyltryptamine	D004130	Serotonin Antagonists	D012702
N,N-Dimethyltryptamine	D004130	Serotonin Receptor Agonists	D017366
Dimetridazole	D004131	Antiprotozoal Agents	D000981
Diminazene	D004133	Trypanocidal Agents	D014344
Dimyristoylphosphatidylcholine	D004134	Indicators and Reagents	D007202
Dinitolmide	D004135	Coccidiostats	D003049
Dinitrochlorobenzene	D004137	Indicators and Reagents	D007202
Dinitrochlorobenzene	D004137	Irritants	D007509
Dinitrophenols	D004140	Fungicides, Industrial	D005659
Dinitrophenols	D004140	Uncoupling Agents	D014475
Dioctyl Sulfosuccinic Acid	D004143	Surface-Active Agents	D013501
Diphenhydramine	D004155	Sleep Aids, Pharmaceutical	D000068776
Diphenhydramine	D004155	Anesthetics, Local	D000779
Diphenhydramine	D004155	Antiemetics	D000932
Diphenhydramine	D004155	Histamine H1 Antagonists	D006634
Diphenhydramine	D004155	Hypnotics and Sedatives	D006993
Diphenhydramine	D004155	Anti-Allergic Agents	D018926
Diphenoxylate	D004157	Analgesics, Opioid	D000701
Diphenoxylate	D004157	Antidiarrheals	D000930
Diphenylcarbazide	D004160	Indicators and Reagents	D007202
Diphenylhexatriene	D004161	Fluorescent Dyes	D005456
Diphosphonates	D004164	Bone Density Conservation Agents	D050071
Diphtheria Antitoxin	D004166	Immunologic Factors	D007155
Diphtheria Toxin	D004167	Poisons	D011042
Diprenorphine	D004174	Narcotic Antagonists	D009292
Dipyridamole	D004176	Phosphodiesterase Inhibitors	D010726
Dipyridamole	D004176	Platelet Aggregation Inhibitors	D010975
Dipyridamole	D004176	Vasodilator Agents	D014665
Dipyrone	D004177	Anti-Inflammatory Agents, Non-Steroidal	D000894
Dipyrone	D004177	Antipyretics	D058633
Diquat	D004178	Defoliants, Chemical	D003678
Diquat	D004178	Herbicides	D006540
Cromolyn Sodium	D004205	Anti-Asthmatic Agents	D018927
Disopyramide	D004206	Anti-Arrhythmia Agents	D000889
Disopyramide	D004206	Voltage-Gated Sodium Channel Blockers	D061567
Distamycins	D004214	Anti-Bacterial Agents	D000900
Distamycins	D004214	Nucleic Acid Synthesis Inhibitors	D019384
Disulfiram	D004221	Alcohol Deterrents	D000427
Disulfiram	D004221	Acetaldehyde Dehydrogenase Inhibitors	D065086
Disulfoton	D004222	Insecticides	D007306
Dithiazanine	D004225	Antinematodal Agents	D000969
Dithiazanine	D004225	Fluorescent Dyes	D005456
Dithioerythritol	D004226	Sulfhydryl Reagents	D013439
Dithionitrobenzoic Acid	D004228	Sulfhydryl Reagents	D013439
Dithizone	D004230	Chelating Agents	D002614
Diuron	D004237	Herbicides	D006540
Dimethylphenylpiperazinium Iodide	D004246	Ganglionic Stimulants	D005731
Dimethylphenylpiperazinium Iodide	D004246	Nicotinic Agonists	D018722
Dobutamine	D004280	Cardiotonic Agents	D002316
Dobutamine	D004280	Sympathomimetics	D013566
Dobutamine	D004280	Adrenergic beta-1 Receptor Agonists	D058665
2,5-Dimethoxy-4-Methylamphetamine	D004290	Hallucinogens	D006213
2,5-Dimethoxy-4-Methylamphetamine	D004290	Serotonin Receptor Agonists	D017366
Domperidone	D004294	Antiemetics	D000932
Domperidone	D004294	Dopamine Antagonists	D018492
Dihydroxyphenylalanine	D004295	Dopamine Agents	D015259
Dopa Decarboxylase	D004296	Antiparkinson Agents	D000978
Dopamine	D004298	Cardiotonic Agents	D002316
Dopamine	D004298	Sympathomimetics	D013566
Dopamine	D004298	Dopamine Agents	D015259
Dothiepin	D004308	Antidepressive Agents, Tricyclic	D000929
Dothiepin	D004308	Adrenergic Uptake Inhibitors	D018759
Doxapram	D004315	Central Nervous System Stimulants	D000697
Doxapram	D004315	Respiratory System Agents	D019141
Doxepin	D004316	Sleep Aids, Pharmaceutical	D000068776
Doxepin	D004316	Antidepressive Agents, Tricyclic	D000929
Doxepin	D004316	Histamine Antagonists	D006633
Doxorubicin	D004317	Antibiotics, Antineoplastic	D000903
Doxorubicin	D004317	Topoisomerase II Inhibitors	D059005
Doxycycline	D004318	Anti-Bacterial Agents	D000900
Doxycycline	D004318	Antimalarials	D000962
Doxylamine	D004319	Antiemetics	D000932
Doxylamine	D004319	Histamine H1 Antagonists	D006634
Droperidol	D004329	Adjuvants, Anesthesia	D000759
Droperidol	D004329	Antiemetics	D000932
Droperidol	D004329	Antipsychotic Agents	D014150
Droperidol	D004329	Dopamine D2 Receptor Antagonists	D065127
Pentetic Acid	D004369	Antidotes	D000931
Pentetic Acid	D004369	Chelating Agents	D002614
Pentetic Acid	D004369	Iron Chelating Agents	D007502
Chlorpyrifos	D004390	Cholinesterase Inhibitors	D002800
Chlorpyrifos	D004390	Insecticides	D007306
Dydrogesterone	D004394	Progestins	D011372
Fonofos	D004397	Cholinesterase Inhibitors	D002800
Fonofos	D004397	Insecticides	D007306
Dynorphins	D004399	Neurotransmitter Agents	D018377
Dyphylline	D004400	Bronchodilator Agents	D001993
Dyphylline	D004400	Phosphodiesterase Inhibitors	D010726
Dyphylline	D004400	Vasodilator Agents	D014665
Echinomycin	D004448	Anti-Bacterial Agents	D000900
Echinomycin	D004448	Antibiotics, Antineoplastic	D000903
Echinomycin	D004448	Nucleic Acid Synthesis Inhibitors	D019384
Echothiophate Iodide	D004456	Cholinesterase Inhibitors	D002800
Echothiophate Iodide	D004456	Miotics	D008916
Echothiophate Iodide	D004456	Parasympathomimetics	D010277
Econazole	D004464	Antifungal Agents	D000935
Econazole	D004464	14-alpha Demethylase Inhibitors	D058888
Edeine	D004486	Anti-Bacterial Agents	D000900
Edeine	D004486	Nucleic Acid Synthesis Inhibitors	D019384
Edrophonium	D004491	Antidotes	D000931
Edrophonium	D004491	Cholinesterase Inhibitors	D002800
Edetic Acid	D004492	Anticoagulants	D000925
Edetic Acid	D004492	Food Additives	D005503
Edetic Acid	D004492	Calcium Chelating Agents	D065096
Egtazic Acid	D004533	Antidotes	D000931
Egtazic Acid	D004533	Calcium Chelating Agents	D065096
Eledoisin	D004600	Neurotransmitter Agents	D018377
Ellipticines	D004611	Antineoplastic Agents, Phytogenic	D000972
Ellipticines	D004611	Immunosuppressive Agents	D007166
Emepronium	D004629	Parasympatholytics	D010276
Emepronium	D004629	Muscarinic Antagonists	D018727
Emepronium	D004629	Urological Agents	D064804
Emetine	D004640	Amebicides	D000563
Emetine	D004640	Antinematodal Agents	D000969
Emetine	D004640	Cathartics	D002400
Emetine	D004640	Emetics	D004639
Emetine	D004640	Protein Synthesis Inhibitors	D011500
Emodin	D004642	Cathartics	D002400
Emodin	D004642	Protein Kinase Inhibitors	D047428
Enalapril	D004656	Angiotensin-Converting Enzyme Inhibitors	D000806
Enalapril	D004656	Antihypertensive Agents	D000959
Endorphins	D004723	Neurotransmitter Agents	D018377
Endosulfan	D004726	Insecticides	D007306
Endrin	D004732	Insecticides	D007306
Enflurane	D004737	Anesthetics, Inhalation	D018685
Enkephalin, Leucine	D004743	Neurotransmitter Agents	D018377
Enkephalin, Methionine	D004744	Neurotransmitter Agents	D018377
Enkephalins	D004745	Neurotransmitter Agents	D018377
Enterobactin	D004758	Siderophores	D017262
Enviomycin	D004776	Anti-Bacterial Agents	D000900
Enviomycin	D004776	Antibiotics, Antitubercular	D000904
Eosine Yellowish-(YS)	D004801	Fluorescent Dyes	D005456
Ephedrine	D004809	Central Nervous System Stimulants	D000697
Ephedrine	D004809	Sympathomimetics	D013566
Ephedrine	D004809	Vasoconstrictor Agents	D014662
Ephedrine	D004809	Adrenergic Agents	D018663
Epimestrol	D004836	Estrogens	D004967
Epinephrine	D004837	Adrenergic alpha-Agonists	D000316
Epinephrine	D004837	Adrenergic beta-Agonists	D000318
Epinephrine	D004837	Bronchodilator Agents	D001993
Epinephrine	D004837	Mydriatics	D009184
Epinephrine	D004837	Sympathomimetics	D013566
Epinephrine	D004837	Vasoconstrictor Agents	D014662
Epirizole	D004840	Anti-Inflammatory Agents, Non-Steroidal	D000894
Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester	D004849	Cholinesterase Inhibitors	D002800
Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester	D004849	Insecticides	D007306
Ergocalciferols	D004872	Vitamins	D014815
Ergocalciferols	D004872	Bone Density Conservation Agents	D050071
Ergonovine	D004874	Oxytocics	D010120
Ergosterol	D004875	Provitamins	D000072664
Ergoloid Mesylates	D004877	Adrenergic alpha-Antagonists	D000317
Ergoloid Mesylates	D004877	Vasodilator Agents	D014665
Ergoloid Mesylates	D004877	Nootropic Agents	D018697
Ergotamine	D004878	Oxytocics	D010120
Ergotamine	D004878	Vasoconstrictor Agents	D014662
Ergotamine	D004878	Serotonin Receptor Agonists	D017366
Ergotamine	D004878	Analgesics, Non-Narcotic	D018712
Ergotamine	D004878	Adrenergic alpha-1 Receptor Agonists	D058646
Ergothioneine	D004880	Antioxidants	D000975
Erythritol	D004896	Vasodilator Agents	D014665
Erythrityl Tetranitrate	D004897	Vasodilator Agents	D014665
Erythromycin	D004917	Anti-Bacterial Agents	D000900
Erythromycin	D004917	Gastrointestinal Agents	D005765
Erythromycin	D004917	Protein Synthesis Inhibitors	D011500
Erythromycin Estolate	D004918	Anti-Bacterial Agents	D000900
Erythromycin Estolate	D004918	Enzyme Inhibitors	D004791
Erythromycin Estolate	D004918	Gastrointestinal Agents	D005765
Erythromycin Estolate	D004918	Protein Synthesis Inhibitors	D011500
Erythrosine	D004923	Fluorescent Dyes	D005456
Escin	D004928	Cardiovascular Agents	D002317
Estazolam	D004949	Anticonvulsants	D000927
Estazolam	D004949	Anti-Anxiety Agents	D014151
Estazolam	D004949	GABA Modulators	D018757
Estradiol	D004958	Estrogens	D004967
Estramustine	D004961	Antineoplastic Agents, Alkylating	D018906
Estramustine	D004961	Antineoplastic Agents, Hormonal	D018931
Estrogens, Conjugated (USP)	D004966	Estrogens	D004967
Estrone	D004970	Estrogens	D004967
Etazolate	D004974	Phosphodiesterase Inhibitors	D010726
Etazolate	D004974	Antipsychotic Agents	D014150
Ethacridine	D004975	Anti-Infective Agents, Local	D000891
Ethacrynic Acid	D004976	Diuretics	D004232
Ethacrynic Acid	D004976	Enzyme Inhibitors	D004791
Ethambutol	D004977	Antitubercular Agents	D000995
Ethamoxytriphetol	D004978	Estrogen Antagonists	D004965
Ethamsylate	D004979	Hemostatics	D006490
Ethchlorvynol	D004984	Hypnotics and Sedatives	D006993
Ether	D004986	Solvents	D012997
Ether	D004986	Anesthetics, Inhalation	D018685
Ethidium	D004996	Enzyme Inhibitors	D004791
Ethidium	D004996	Fluorescent Dyes	D005456
Ethidium	D004996	Indicators and Reagents	D007202
Ethidium	D004996	Trypanocidal Agents	D014344
Ethidium	D004996	Nicotinic Antagonists	D018733
Ethinyl Estradiol	D004997	Estrogens	D004967
Ethiodized Oil	D004998	Antineoplastic Agents	D000970
Ethiodized Oil	D004998	Contrast Media	D003287
Amifostine	D004999	Radiation-Protective Agents	D011837
Ethionamide	D005000	Antitubercular Agents	D000995
Ethionamide	D005000	Fatty Acid Synthesis Inhibitors	D054872
Ethionine	D005001	Antimetabolites	D000963
Ethoglucid	D005009	Antineoplastic Agents, Alkylating	D018906
Ethopabate	D005011	Coccidiostats	D003049
Ethosuximide	D005013	Anticonvulsants	D000927
Ethoxzolamide	D005016	Carbonic Anhydrase Inhibitors	D002257
Ethoxzolamide	D005016	Diuretics	D004232
Ethyl Biscoumacetate	D005017	Anticoagulants	D000925
Ethyl Chloride	D005018	Anesthetics, Local	D000779
Ethyl Methanesulfonate	D005020	Mutagens	D009153
Ethyl Methanesulfonate	D005020	Antineoplastic Agents, Alkylating	D018906
Ethylene Oxide	D005027	Disinfectants	D004202
Ethylestrenol	D005032	Anabolic Agents	D045930
Ethylmaleimide	D005033	Enzyme Inhibitors	D004791
Ethylmaleimide	D005033	Sulfhydryl Reagents	D013439
Ethylmercuric Chloride	D005034	Fungicides, Industrial	D005659
Ethylmercury Compounds	D005035	Fungicides, Industrial	D005659
Ethylmorphine	D005036	Analgesics, Opioid	D000701
Ethylmorphine	D005036	Antitussive Agents	D000996
Ethylmorphine	D005036	Narcotics	D009294
Ethylnitrosourea	D005038	Alkylating Agents	D000477
Etilefrine	D005039	Adrenergic alpha-Agonists	D000316
Etilefrine	D005039	Cardiotonic Agents	D002316
Etilefrine	D005039	Sympathomimetics	D013566
Etilefrine	D005039	Vasoconstrictor Agents	D014662
Etilefrine	D005039	Adrenergic beta-1 Receptor Agonists	D058665
Ethynodiol Diacetate	D005040	Contraceptives, Oral, Synthetic	D003280
Etidocaine	D005041	Anesthetics, Local	D000779
Etimizol	D005042	Nootropic Agents	D018697
Etomidate	D005045	Hypnotics and Sedatives	D006993
Etomidate	D005045	Anesthetics, Intravenous	D018686
Etoposide	D005047	Antineoplastic Agents, Phytogenic	D000972
Etoposide	D005047	Topoisomerase II Inhibitors	D059005
Etorphine	D005048	Analgesics, Opioid	D000701
Etorphine	D005048	Hypnotics and Sedatives	D006993
Etorphine	D005048	Narcotics	D009294
Etretinate	D005050	Keratolytic Agents	D007641
Eugenol	D005054	Anti-Infective Agents	D000890
Eugenol	D005054	Solvents	D012997
Europium	D005063	Luminescent Agents	D049408
Evans Blue	D005070	Coloring Agents	D004396
Exfoliatins	D005083	Dermotoxins	D003885
Factor VIII	D005169	Coagulants	D003029
Felypressin	D005259	Vasoconstrictor Agents	D014662
Fenbendazole	D005273	Antinematodal Agents	D000969
Fendiline	D005275	Calcium Channel Blockers	D002121
Fenfluramine	D005277	Serotonin Uptake Inhibitors	D017367
Fenfluramine	D005277	Serotonin Agents	D018490
Fenitrothion	D005278	Cholinesterase Inhibitors	D002800
Fenitrothion	D005278	Insecticides	D007306
Fenoprofen	D005279	Cyclooxygenase Inhibitors	D016861
Fenoterol	D005280	Bronchodilator Agents	D001993
Fenoterol	D005280	Sympathomimetics	D013566
Fenoterol	D005280	Tocolytic Agents	D015149
Fenoterol	D005280	Adrenergic beta-2 Receptor Agonists	D058666
Fentanyl	D005283	Analgesics, Opioid	D000701
Fentanyl	D005283	Adjuvants, Anesthesia	D000759
Fentanyl	D005283	Narcotics	D009294
Fentanyl	D005283	Anesthetics, Intravenous	D018686
Fenthion	D005284	Cholinesterase Inhibitors	D002800
Fenthion	D005284	Insecticides	D007306
Ferric Compounds	D005290	Hematinics	D006397
Ferrozine	D005297	Indicators and Reagents	D007202
Ferrozine	D005297	Iron Chelating Agents	D007502
Fibrin Fibrinogen Degradation Products	D005338	Anticoagulants	D000925
Fibrin Foam	D005339	Hemostatics	D006490
Fibrin Foam	D005339	Tissue Adhesives	D014014
Fibrinolysin	D005341	Fibrinolytic Agents	D005343
Ficusin	D005363	Anthelmintics	D000871
Ficusin	D005363	Cross-Linking Reagents	D003432
Ficusin	D005363	Photosensitizing Agents	D017319
Filipin	D005372	Anti-Bacterial Agents	D000900
Filipin	D005372	Antifungal Agents	D000935
Filipin	D005372	Antiviral Agents	D000998
Fish Venoms	D005397	Poisons	D011042
D-Ala(2),MePhe(4),Met(0)-ol-enkephalin	D005405	Analgesics	D000700
Flavoxate	D005422	Parasympatholytics	D010276
Flavoxate	D005422	Urological Agents	D064804
Flecainide	D005424	Anti-Arrhythmia Agents	D000889
Flecainide	D005424	Voltage-Gated Sodium Channel Blockers	D061567
Floxacillin	D005436	Anti-Bacterial Agents	D000900
Flucytosine	D005437	Antifungal Agents	D000935
Flucytosine	D005437	Antimetabolites	D000963
Fludrocortisone	D005438	Anti-Inflammatory Agents	D000893
Flufenamic Acid	D005439	Anti-Inflammatory Agents	D000893
Flumazenil	D005442	Antidotes	D000931
Flumazenil	D005442	GABA Modulators	D018757
Flumethasone	D005443	Anti-Inflammatory Agents	D000893
Flumethasone	D005443	Glucocorticoids	D005938
Flunarizine	D005444	Anticonvulsants	D000927
Flunarizine	D005444	Calcium Channel Blockers	D002121
Flunarizine	D005444	Histamine H1 Antagonists	D006634
Flunarizine	D005444	Vasodilator Agents	D014665
Flunitrazepam	D005445	Anti-Anxiety Agents	D014151
Flunitrazepam	D005445	GABA Modulators	D018757
Fluocinolone Acetonide	D005446	Anti-Inflammatory Agents	D000893
Fluocinolone Acetonide	D005446	Glucocorticoids	D005938
Fluocinonide	D005447	Anti-Inflammatory Agents	D000893
Fluocinonide	D005447	Glucocorticoids	D005938
Fluocinonide	D005447	Anti-Allergic Agents	D018926
Fluocortolone	D005448	Anti-Inflammatory Agents	D000893
Fluocortolone	D005448	Glucocorticoids	D005938
Fluorescamine	D005450	Indicators and Reagents	D007202
Fluoresceins	D005452	Fluorescent Dyes	D005456
Fluorides	D005459	Cariostatic Agents	D002327
Fluorides, Topical	D005460	Cariostatic Agents	D002327
Floxuridine	D005467	Antimetabolites, Antineoplastic	D000964
Fluorometholone	D005469	Anti-Inflammatory Agents	D000893
Fluorometholone	D005469	Glucocorticoids	D005938
Fluorometholone	D005469	Anti-Allergic Agents	D018926
Fluorouracil	D005472	Antimetabolites	D000963
Fluorouracil	D005472	Antimetabolites, Antineoplastic	D000964
Fluorouracil	D005472	Immunosuppressive Agents	D007166
Fluoxetine	D005473	Serotonin Uptake Inhibitors	D017367
Fluoxetine	D005473	Antidepressive Agents, Second-Generation	D018687
Fluoxetine	D005473	Cytochrome P-450 CYP2D6 Inhibitors	D065690
Fluoxymesterone	D005474	Anabolic Agents	D045930
Flupenthixol	D005475	Antipsychotic Agents	D014150
Flupenthixol	D005475	Dopamine Antagonists	D018492
Fluphenazine	D005476	Antipsychotic Agents	D014150
Fluphenazine	D005476	Dopamine Antagonists	D018492
Fluprednisolone	D005477	Anti-Inflammatory Agents	D000893
Fluprednisolone	D005477	Glucocorticoids	D005938
Flurandrenolone	D005478	Anti-Inflammatory Agents	D000893
Flurandrenolone	D005478	Glucocorticoids	D005938
Flurazepam	D005479	Hypnotics and Sedatives	D006993
Flurazepam	D005479	Anti-Anxiety Agents	D014151
Flurazepam	D005479	GABA Modulators	D018757
Flurbiprofen	D005480	Analgesics	D000700
Flurbiprofen	D005480	Anti-Inflammatory Agents, Non-Steroidal	D000894
Flurbiprofen	D005480	Cyclooxygenase Inhibitors	D016861
Flurothyl	D005481	Convulsants	D003292
Fluspirilene	D005484	Antipsychotic Agents	D014150
Fluspirilene	D005484	Dopamine Antagonists	D018492
Flutamide	D005485	Androgen Antagonists	D000726
Flutamide	D005485	Antineoplastic Agents, Hormonal	D018931
Flavin Mononucleotide	D005486	Vitamin B Complex	D014803
Folic Acid	D005492	Hematinics	D006397
Folic Acid	D005492	Vitamin B Complex	D014803
Formaldehyde	D005557	Disinfectants	D004202
Formaldehyde	D005557	Fixatives	D005404
Formazans	D005562	Indicators and Reagents	D007202
Formycins	D005573	Antibiotics, Antineoplastic	D000903
Formyltetrahydrofolates	D005575	Vitamin B Complex	D014803
Colforsin	D005576	Adjuvants, Immunologic	D000276
Colforsin	D005576	Bronchodilator Agents	D001993
Colforsin	D005576	Cardiotonic Agents	D002316
Colforsin	D005576	Vasodilator Agents	D014665
Fosfomycin	D005578	Anti-Bacterial Agents	D000900
Framycetin	D005601	Anti-Bacterial Agents	D000900
Freund's Adjuvant	D005620	Adjuvants, Immunologic	D000276
Fructose	D005632	Sweetening Agents	D013549
Follicle Stimulating Hormone	D005640	Hormones	D006728
Tegafur	D005641	Antimetabolites, Antineoplastic	D000964
Furagin	D005661	Anti-Infective Agents, Urinary	D000892
Furazolidone	D005664	Anti-Infective Agents, Local	D000891
Furazolidone	D005664	Anti-Infective Agents, Urinary	D000892
Furazolidone	D005664	Antitrichomonal Agents	D000994
Furazolidone	D005664	Monoamine Oxidase Inhibitors	D008996
Furosemide	D005665	Diuretics	D004232
Furosemide	D005665	Sodium Potassium Chloride Symporter Inhibitors	D049994
Fursultiamin	D005666	Vitamin B Complex	D014803
Furylfuramide	D005668	Mutagens	D009153
Fusaric Acid	D005669	Enzyme Inhibitors	D004791
Fusaric Acid	D005669	Dopamine Agents	D015259
Fusaric Acid	D005669	Nucleic Acid Synthesis Inhibitors	D019384
Fusidic Acid	D005672	Anti-Bacterial Agents	D000900
Fusidic Acid	D005672	Protein Synthesis Inhibitors	D011500
gamma-Aminobutyric Acid	D005680	GABA Agents	D018682
Galantamine	D005702	Cholinesterase Inhibitors	D002800
Galantamine	D005702	Parasympathomimetics	D010277
Galantamine	D005702	Nootropic Agents	D018697
Gallamine Triethiodide	D005703	Neuromuscular Nondepolarizing Agents	D003473
Gallamine Triethiodide	D005703	Nicotinic Antagonists	D018733
Gallopamil	D005711	Calcium Channel Blockers	D002121
gamma-Globulins	D005719	Immunologic Factors	D007155
Gasoline	D005742	Air Pollutants	D000393
Gasoline	D005742	Carcinogens, Environmental	D002274
Gastric Inhibitory Polypeptide	D005749	Gastrointestinal Agents	D005765
Gastric Inhibitory Polypeptide	D005749	Incretins	D054795
Gastrins	D005755	Hormones	D006728
Gefarnate	D005778	Anti-Ulcer Agents	D000897
Gelatin Sponge, Absorbable	D005781	Hemostatics	D006490
Gentamicins	D005839	Anti-Bacterial Agents	D000900
Gentamicins	D005839	Protein Synthesis Inhibitors	D011500
Gentian Violet	D005840	Anti-Infective Agents, Local	D000891
Gestrinone	D005867	Contraceptives, Oral	D003276
Gestrinone	D005867	Progestins	D011372
Gibberellins	D005875	Plant Growth Regulators	D010937
Glafenine	D005897	Analgesics, Non-Narcotic	D018712
Glaucarubin	D005900	Antineoplastic Agents, Phytogenic	D000972
Glyburide	D005905	Hypoglycemic Agents	D007004
Gliclazide	D005907	Hypoglycemic Agents	D007004
Gliotoxin	D005912	Immunosuppressive Agents	D007166
Glipizide	D005913	Hypoglycemic Agents	D007004
Glucagon	D005934	Gastrointestinal Agents	D005765
Glucagon	D005934	Hormones	D006728
Glucose	D005947	Sweetening Agents	D013549
