pharmacological_action_name	pharmacological_action_ui	name	ui	entry_term_name	entry_term_ui
Adrenergic Uptake Inhibitors	D018759	Atomoxetine Hydrochloride	D000069445	HCl, Atomoxetine	T000879986
Adrenergic Uptake Inhibitors	D018759	Atomoxetine Hydrochloride	D000069445	Atomoxetine HCl	T000879986
Adrenergic Uptake Inhibitors	D018759	Atomoxetine Hydrochloride	D000069445	N-methyl-gamma-(2-methylphenoxy)benzenepropanamine hydrochloride	T154116
Adrenergic Uptake Inhibitors	D018759	Atomoxetine Hydrochloride	D000069445	Hydrochloride, Atomoxetine	T000879985
Adrenergic Uptake Inhibitors	D018759	Atomoxetine Hydrochloride	D000069445	Atomoxetine Hydrochloride	T000879985
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Apo Nortriptyline	T584134
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Apo-Nortriptyline	T584134
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Allegron	T584129
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Desmethylamitriptylin	T028739
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Desitriptyline	T028738
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Nortriptyline	T028740
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Nu Nortriptyline	T584144
Adrenergic Uptake Inhibitors	D018759	Mazindol	D008454	Teronac	T025118
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Pamelor	T028741
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	PMS Nortriptyline	T584146
Adrenergic Uptake Inhibitors	D018759	N-Methyl-3,4-methylenedioxyamphetamine	D018817	MDMA	T056086
Adrenergic Uptake Inhibitors	D018759	N-Methyl-3,4-methylenedioxyamphetamine	D018817	Methylenedioxymethamphetamine	T056087
Adrenergic Uptake Inhibitors	D018759	N-Methyl-3,4-methylenedioxyamphetamine	D018817	Ecstasy (Drug)	T056088
Adrenergic Uptake Inhibitors	D018759	N-Methyl-3,4-methylenedioxyamphetamine	D018817	N-Methyl-3,4-methylenedioxyamphetamine Hydrochloride	T359369
Adrenergic Uptake Inhibitors	D018759	N-Methyl-3,4-methylenedioxyamphetamine	D018817	Hydrochloride, N-Methyl-3,4-methylenedioxyamphetamine	T359369
Adrenergic Uptake Inhibitors	D018759	N-Methyl-3,4-methylenedioxyamphetamine	D018817	N Methyl 3,4 methylenedioxyamphetamine Hydrochloride	T359369
Adrenergic Uptake Inhibitors	D018759	Mazindol	D008454	Teronak	T025115
Adrenergic Uptake Inhibitors	D018759	Mazindol	D008454	AN-448	T025111
Adrenergic Uptake Inhibitors	D018759	Mazindol	D008454	AN448	T025111
Adrenergic Uptake Inhibitors	D018759	Mazindol	D008454	Sanorex	T025114
Adrenergic Uptake Inhibitors	D018759	Mazindol	D008454	Sanjorex	T025117
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Methamphetamine	T025861
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Desoxyephedrine	T025860
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Metamfetamine	T025864
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Methylamphetamine	T025862
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	N-Methylamphetamine	T025863
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	N Methylamphetamine	T025863
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Deoxyephedrine	T025859
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Desoxyn	T613909
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Madrine	T613911
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Methamphetamine Hydrochloride	T025865
Adrenergic Uptake Inhibitors	D018759	Methamphetamine	D008694	Hydrochloride, Methamphetamine	T025865
Adrenergic Uptake Inhibitors	D018759	Opipramol	D009888	Hydrochloride, Opipramol	T029291
Adrenergic Uptake Inhibitors	D018759	Opipramol	D009888	Opipramol Hydrochloride	T029291
Adrenergic Uptake Inhibitors	D018759	Opipramol	D009888	Insidon	T029290
Adrenergic Uptake Inhibitors	D018759	Opipramol	D009888	Opipramol	T029289
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	Norfenazin	T584138
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	ratio Nortriptyline	T584148
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	ratio-Nortriptyline	T584148
Adrenergic Uptake Inhibitors	D018759	Nortriptyline	D009661	PMS-Nortriptyline	T584146
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	10,11 Dihydro-N,N,beta-trimethyl-5H-dibenz(b,f)azepine-5-propanamine	T041857
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimineurin	T669725
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Herphonal	T669732
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Apo Desipramine	T606664
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Novo Desipramine	T606666
Adrenergic Uptake Inhibitors	D018759	Tyramine	D014439	p-Tyramine	T042230
Adrenergic Uptake Inhibitors	D018759	Tyramine	D014439	para-Tyramine	T042229
Adrenergic Uptake Inhibitors	D018759	Tyramine	D014439	4 Hydroxyphenethylamine	T000901346
Adrenergic Uptake Inhibitors	D018759	Tyramine	D014439	4-Hydroxyphenethylamine	T000901346
Adrenergic Uptake Inhibitors	D018759	Tyramine	D014439	4-(2-Aminoethyl)phenol	T042228
Adrenergic Uptake Inhibitors	D018759	Tyramine	D014439	Tyramine	T042227
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	ApoTrimip	T669728
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Apo Trimip	T669728
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Apo-Trimip	T669728
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Eldoral	T669730
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine, (+-)-Isomer	T359749
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Levoamphetamine	T001996
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	levo Amphetamine	T001998
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	levo-Amphetamine	T001998
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	l Amphetamine	T001997
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	l-Amphetamine	T001997
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Amphetamine Sulfate (2:1)	T361499
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Sulfate, Amphetamine	T001999
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Amphetamine Sulfate	T001999
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Thyramine	T001994
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Mydrial	T001991
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Fenamine	T001990
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Centramina	T506563
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Phenamine	T001992
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Desoxynorephedrin	T001989
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Phenopromin	T001993
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Amfetamine	T001995
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Apo-Desipramine	T606664
Adrenergic Uptake Inhibitors	D018759	Amphetamine	D000661	Amphetamine	T001988
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	PMS Desipramine	T606669
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Petylyl	T606668
Adrenergic Uptake Inhibitors	D018759	3,4-Methylenedioxyamphetamine	D015104	3,4 Methylenedioxyamphetamine	T044101
Adrenergic Uptake Inhibitors	D018759	3,4-Methylenedioxyamphetamine	D015104	3,4-Methylenedioxyamphetamine	T044101
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Viloxazine Hydrochloride, (S)-Isomer	T359679
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Emovit	T043081
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Viloxazine, (S)-Isomer	T359678
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Viloxazine, (R)-Isomer	T359736
Adrenergic Uptake Inhibitors	D018759	Benzphetamine	D001589	Didrex	T004597
Adrenergic Uptake Inhibitors	D018759	Benzphetamine	D001589	Benzfetamine	T004596
Adrenergic Uptake Inhibitors	D018759	Benzphetamine	D001589	Benzphetamine	T004595
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Viloxazine, (+-)-Isomer	T359802
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Viloxazine Oxalate (1:1)	T359800
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Vivalan	T043083
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Viloxazine Hydrochloride, (R)-Isomer	T359680
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Viloxazine Hydrochloride	T043085
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	ICI58,834	T043084
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	ICI-58,834	T043084
Adrenergic Uptake Inhibitors	D018759	Viloxazine	D014745	Viloxazine	T043082
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Desipramine	T011584
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Desmethylimipramine	T011585
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Demethylimipramine	T011583
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Desipramine Hydrochloride	T011587
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Hydrochloride, Desipramine	T011587
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Norpramin	T606665
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Ratio-Desipramine	T000913085
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Nu-Desipramine	T606667
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Nu Desipramine	T606667
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Pertofrane	T011586
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Pertrofran	T606672
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Pertofran	T606671
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	PMS-Desipramine	T606669
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine, (-)-Isomer	T359752
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine Monohydrochloride	T359753
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine Maleate (1:1), (-)-Isomer	T359747
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Lentizol	T001922
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Laroxyl	T001921
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Domical	T507841
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Damilen	T001920
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Apo Amitriptyline	T507829
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Apo-Amitriptyline	T507829
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Anapsique	T507827
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitrol	T507825
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitriptyline Hydrochloride	T001924
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitriptylin Neuraxpharm	T000912529
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitriptylin-Neuraxpharm	T000912529
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	RPh, Amitriptylin	T507954
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitriptylin RPh	T507954
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Desitin, Amitriptylin	T507952
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitriptylin Desitin	T507952
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitriptylin Beta	T000912528
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitrip	T507823
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amineurin	T507807
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Tryptine	T507800
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Amitriptyline	T001919
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Surmontil	T041861
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Stangyl	T041860
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Rhotrimine	T669738
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	NuTrimipramine	T669736
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Nu Trimipramine	T669736
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Nu-Trimipramine	T669736
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	NovoTripramine	T669734
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Novo Tripramine	T669734
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Novo-Tripramine	T669734
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Novoprotect	T507805
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine Mesylate	T359751
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Saroten	T001923
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Syneudon	T507802
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine Maleate (1:1), (+-)-Isomer	T359746
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine Maleate (1:1), (+)-Isomer	T359748
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine Maleate (1:1)	T359754
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramine Maleate	T041859
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	TrimipraminNeurazpharm	T000912878
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramin Neurazpharm	T000912878
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramin-Neurazpharm	T000912878
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramin Stada	T669748
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Beta, Trimipramin	T000912877
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramin Beta	T000912877
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimipramin AZU	T669744
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimineurin Maleate	T709712
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Trimidura	T669740
Adrenergic Uptake Inhibitors	D018759	Trimipramine	D014299	Surmontil Maleate	T709708
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	Asendis	T508156
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	Défanyl	T508157
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	Asendin	T001968
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	Demolox	T508158
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	CL67,772	T001969
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	CL 67,772	T001969
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	CL-67,772	T001969
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	Desmethylloxapine	T001970
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	2-Chloro-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepine	T001971
Adrenergic Uptake Inhibitors	D018759	Amoxapine	D000657	Amoxapine	T001967
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Tryptanol	T507788
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Elavil	T537802
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Tryptizol	T001925
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Endep	T508288
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Triptafen	T507804
Adrenergic Uptake Inhibitors	D018759	Amitriptyline	D000639	Sarotex	T507798
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Novo-Desipramine	T606666
Adrenergic Uptake Inhibitors	D018759	Desipramine	D003891	Ratio Desipramine	T000913085
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Araminol	T025805
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Vasoxin	T025990
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	ProAmatine	T614431
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	Amatine	T614433
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	ST-1085	T026560
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	ST 1085	T026560
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	ST1085	T026560
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	Gutron	T026559
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	Midon	T614434
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Vasoxine	T025988
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Vasylox	T614120
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Wellcome, Metoxamine	T614123
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Metoxamine Wellcome	T614123
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Methoxamedrin	T025986
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Methoxamine	T025987
Adrenergic alpha-1 Receptor Agonists	D058646	Mephentermine	D008616	Sulfate, Mephentermine	T025638
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	(R)-3-Hydroxy-alpha-((methylamino)methyl)benzenemethanol	T031491
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Metasympatol	T031495
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Mezaton	T031496
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Phenylephrine Hydrochloride	T031492
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Phenylephrine Tannate	T493620
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Tannate, Phenylephrine	T493620
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	Monohydrochloride, Midodrine	T360229
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	Midodrine Monohydrochloride	T360229
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	Midodrine Hydrochloride	T026561
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	Midodrin	T026562
Adrenergic alpha-1 Receptor Agonists	D058646	Mephentermine	D008616	Mephentermine Sulfate	T025638
Adrenergic alpha-1 Receptor Agonists	D058646	Mephentermine	D008616	Mephentermine	T025637
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergotamine	T014923
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergomar	T621676
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergostat	T621677
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergotamine Tartrate	T014926
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Tartrate, Ergotamine	T014926
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergotamine Tartrate (2:1)	T360635
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergotaminine	T014924
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergo-Kranit	T621674
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Metaoxedrin	T031494
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergo Kranit	T621674
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Cornutamine	T014925
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergo Sanol	T000913058
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Ergodryl Mono	T621675
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Mono, Ergodryl	T621675
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Gynergen	T014927
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Aramine	T025811
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Vasoxyl	T025989
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Hydrochloride, Methoxamine	T025991
Adrenergic alpha-1 Receptor Agonists	D058646	Methoxamine	D008729	Methoxamine Hydrochloride	T025991
Adrenergic alpha-1 Receptor Agonists	D058646	Midodrine	D008879	Midodrine	T026563
Adrenergic alpha-1 Receptor Agonists	D058646	Ergotamine	D004878	Lingraine	T621678
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Neo-Synephrine	T031493
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Phenylephrine	T031490
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Neosynephrine	T031489
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	meta-Hydroxynorephedrine	T025807
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	meta Hydroxynorephedrine	T025807
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Metaradrin	T025808
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	m-Hydroxyphenylpropanolamine	T000911789
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	m Hydroxyphenylpropanolamine	T000911789
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	m-Hydroxynorephedrine	T025810
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Metaraminol	T025809
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	m Hydroxynorephedrine	T025810
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Isophenylephrine	T025806
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Metaraminol Bitartrate	T025812
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Bitartrate, Metaraminol	T025812
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Metaraminol Tartrate	T767066
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Tartrate, Metaraminol	T767066
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Metaraminol Bitartrate (1:1)	T360320
Adrenergic alpha-1 Receptor Agonists	D058646	Metaraminol	D008680	Hydroxyphenylpropanolamine	T000911788
Adrenergic alpha-1 Receptor Agonists	D058646	Phenylephrine	D010656	Neo Synephrine	T031493
Adrenergic alpha-1 Receptor Agonists	D058646	Mephentermine	D008616	Mephentermine Sulfate (2:1)	T360316
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	DoxaUro	T615167
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin Apogepha	T615170
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin AL	T615169
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosina Ur	T615312
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Gen-Doxazosin	T615313
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Gen Doxazosin	T615313
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Jutalar	T615314
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	UK33274	T051610
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	ratio Doxazosin	T615318
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	ratio-Doxazosin	T615318
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin ratiopharm	T615178
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin-ratiopharm	T615178
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	UK 33274	T051610
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	UK-33274	T051610
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Von Ct, Doxazosin	T000912678
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Ct, Doxazosin Von	T000912678
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin Monohydrochloride	T359451
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin Von Ct	T000912678
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin Stada	T615176
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Monohydrochloride, Doxazosin	T359451
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin findusFit	T615173
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin Heumann	T615174
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin Klast	T615175
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin Mesylate	T051609
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Progandol Neo	T615317
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	MTW Doxazosin	T615315
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	MTW-Doxazosin	T615315
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Mesylate, Doxazosin	T051609
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosin AZU	T615171
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxagamma	T615164
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazomerck	T615168
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxazosina Ratiopharm	T615311
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxacor	T615163
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxa Puren	T615162
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Doxa-Puren	T615162
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Diblocin	T615161
Adrenergic alpha-1 Receptor Antagonists	D058668	Doxazosin	D017292	Neo, Carduran	T615182
